locus_tag	ftype	length_bp	gene	EC_number	COG	product
PPDIGIDD_00366	CDS	654				hypothetical protein
PPDIGIDD_00367	CDS	1578	prmC_1	2.1.1.297		Release factor glutamine methyltransferase
PPDIGIDD_00368	CDS	984	haeIIIM	2.1.1.37		Modification methylase HaeIII
PPDIGIDD_00369	CDS	954				hypothetical protein
PPDIGIDD_00370	CDS	687				hypothetical protein
PPDIGIDD_00371	CDS	933				hypothetical protein
PPDIGIDD_00372	CDS	1602	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
PPDIGIDD_00373	CDS	579	guaC_1	1.7.1.7	COG0516	GMP reductase
PPDIGIDD_00374	CDS	300	guaC_2	1.7.1.7	COG0516	GMP reductase
PPDIGIDD_00375	CDS	579	gmhA1	5.3.1.28	COG0279	Phosphoheptose isomerase 1
PPDIGIDD_00376	CDS	1380	hldE		COG2870	Bifunctional protein HldE
PPDIGIDD_00377	CDS	993	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
PPDIGIDD_00378	CDS	576	hisB	3.1.3.15		Histidine biosynthesis bifunctional protein HisB
PPDIGIDD_00379	CDS	657				hypothetical protein
PPDIGIDD_00380	CDS	666	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
PPDIGIDD_00381	CDS	1659	pgbB			Plasminogen-binding protein PgbB
PPDIGIDD_00382	CDS	657				hypothetical protein
PPDIGIDD_00383	CDS	438	dut	3.6.1.23		Deoxyuridine 5'-triphosphate nucleotidohydrolase
PPDIGIDD_00384	CDS	495	greA		COG0782	Transcription elongation factor GreA
PPDIGIDD_00385	CDS	1083	lpxB	2.4.1.182		Lipid-A-disaccharide synthase
PPDIGIDD_00386	CDS	462				hypothetical protein
PPDIGIDD_00387	CDS	354	hypA		COG0375	Hydrogenase/urease maturation factor HypA
PPDIGIDD_00388	CDS	2157	flgE		COG1749	Flagellar hook protein FlgE
PPDIGIDD_00389	CDS	243	cdh_1	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
PPDIGIDD_00390	CDS	438	cdh_2	3.6.1.26	COG2134	CDP-diacylglycerol pyrophosphatase
PPDIGIDD_00391	CDS	330				hypothetical protein
PPDIGIDD_00392	CDS	216				hypothetical protein
PPDIGIDD_00393	CDS	876				hypothetical protein
PPDIGIDD_00394	CDS	1518	katA	1.11.1.6	COG0753	Catalase
PPDIGIDD_00395	CDS	2376	btuB_1			Vitamin B12 transporter BtuB
PPDIGIDD_00396	CDS	483	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
PPDIGIDD_00397	CDS	726				hypothetical protein
PPDIGIDD_00398	CDS	111				hypothetical protein
PPDIGIDD_00399	CDS	501				hypothetical protein
PPDIGIDD_00400	CDS	2031				hypothetical protein
PPDIGIDD_00401	CDS	552	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
PPDIGIDD_00402	CDS	1845				hypothetical protein
PPDIGIDD_00403	CDS	1461	murJ		COG0728	Lipid II flippase MurJ
PPDIGIDD_00404	CDS	1398	cysS	6.1.1.16	COG0215	Cysteine--tRNA ligase
PPDIGIDD_00405	CDS	3966	vacA_1			Vacuolating cytotoxin autotransporter
PPDIGIDD_00406	CDS	768			COG1120	putative ABC transporter ATP-binding protein
PPDIGIDD_00407	CDS	981	hmuU		COG0609	Hemin transport system permease protein HmuU
PPDIGIDD_00408	CDS	849				hypothetical protein
PPDIGIDD_00409	CDS	525				hypothetical protein
PPDIGIDD_00410	CDS	264				hypothetical protein
PPDIGIDD_00411	CDS	378				hypothetical protein
PPDIGIDD_00412	CDS	1278				hypothetical protein
PPDIGIDD_00413	CDS	921				hypothetical protein
PPDIGIDD_00414	tRNA	77				tRNA-Met(cat)
PPDIGIDD_00415	tRNA	75				tRNA-Gln(ttg)
PPDIGIDD_00416	CDS	522				hypothetical protein
PPDIGIDD_00417	CDS	1113	hypD		COG0409	Hydrogenase maturation factor HypD
PPDIGIDD_00418	CDS	237	hypC		COG0298	Hydrogenase maturation factor HypC
PPDIGIDD_00419	CDS	729	hypB		COG0378	Hydrogenase/urease maturation factor HypB
PPDIGIDD_00420	CDS	105				hypothetical protein
PPDIGIDD_00421	CDS	300				hypothetical protein
PPDIGIDD_00422	CDS	1206	ackA	2.7.2.1	COG0282	Acetate kinase
PPDIGIDD_00423	CDS	1578				hypothetical protein
PPDIGIDD_00424	CDS	291				hypothetical protein
PPDIGIDD_00425	CDS	1344				hypothetical protein
PPDIGIDD_00426	CDS	870				hypothetical protein
PPDIGIDD_00427	CDS	1818				hypothetical protein
PPDIGIDD_00428	CDS	636				hypothetical protein
PPDIGIDD_00429	CDS	1134				hypothetical protein
PPDIGIDD_00430	CDS	2031	uvrD	3.6.4.12	COG0210	DNA helicase II
PPDIGIDD_00431	CDS	1548				hypothetical protein
PPDIGIDD_00432	CDS	1542				hypothetical protein
PPDIGIDD_00433	CDS	1545				hypothetical protein
PPDIGIDD_00434	CDS	1971				hypothetical protein
PPDIGIDD_00435	CDS	495				hypothetical protein
PPDIGIDD_00436	CDS	432				hypothetical protein
PPDIGIDD_00437	CDS	3258	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
PPDIGIDD_00438	CDS	693				hypothetical protein
PPDIGIDD_00439	CDS	996	gap1	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase 1
PPDIGIDD_00440	CDS	7128				hypothetical protein
PPDIGIDD_00441	CDS	1107				hypothetical protein
PPDIGIDD_00442	CDS	207		5.3.2.-	COG1942	putative tautomerase
PPDIGIDD_00443	CDS	321	recR		COG0353	Recombination protein RecR
PPDIGIDD_00444	CDS	1146	truD	5.4.99.27	COG0585	tRNA pseudouridine synthase D
PPDIGIDD_00445	CDS	933	htpX_1	3.4.24.-		Protease HtpX
PPDIGIDD_00446	CDS	543	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
PPDIGIDD_00447	CDS	912		2.5.1.10		Farnesyl diphosphate synthase
PPDIGIDD_00448	CDS	804	surE	3.1.3.5	COG0496	5'-nucleotidase SurE
PPDIGIDD_00449	CDS	660				hypothetical protein
PPDIGIDD_00450	CDS	603				hypothetical protein
PPDIGIDD_00451	CDS	756	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
PPDIGIDD_00452	CDS	558				hypothetical protein
PPDIGIDD_00453	CDS	2070				hypothetical protein
PPDIGIDD_00454	CDS	111				hypothetical protein
PPDIGIDD_00455	CDS	261				hypothetical protein
PPDIGIDD_00456	CDS	696				hypothetical protein
PPDIGIDD_00457	CDS	1254				hypothetical protein
PPDIGIDD_00458	CDS	354				hypothetical protein
PPDIGIDD_00459	CDS	714	tcyB		COG0765	L-cystine transport system permease protein TcyB
PPDIGIDD_00460	CDS	777			COG0834	putative amino-acid ABC transporter-binding protein
PPDIGIDD_00461	CDS	1134	alr1	5.1.1.1	COG0787	Alanine racemase 1
PPDIGIDD_00462	CDS	1353	alsT		COG1115	Amino-acid carrier protein AlsT
PPDIGIDD_00463	CDS	1233	dadA	1.4.5.1	COG0665	D-amino acid dehydrogenase
PPDIGIDD_00464	CDS	378			COG0251	RutC family protein
PPDIGIDD_00465	tRNA	75				tRNA-Gly(gcc)
PPDIGIDD_00466	CDS	300				hypothetical protein
PPDIGIDD_00467	tRNA	87				tRNA-Leu(taa)
PPDIGIDD_00468	tRNA	75				tRNA-Cys(gca)
PPDIGIDD_00469	tRNA	88				tRNA-Ser(tga)
PPDIGIDD_00470	CDS	1491				hypothetical protein
PPDIGIDD_00471	CDS	360				hypothetical protein
PPDIGIDD_00472	CDS	1014				hypothetical protein
PPDIGIDD_00473	CDS	453	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
PPDIGIDD_00474	CDS	870	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
PPDIGIDD_00475	CDS	615				hypothetical protein
PPDIGIDD_00476	CDS	657	cinA			Putative competence-damage inducible protein
PPDIGIDD_00477	CDS	567				hypothetical protein
PPDIGIDD_00478	CDS	633	rdxA	1.-.-.-	COG0778	Oxygen-insensitive NADPH nitroreductase
PPDIGIDD_00479	CDS	843	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
PPDIGIDD_00480	CDS	465		5.4.99.-	COG0564	putative RNA pseudouridine synthase
PPDIGIDD_00481	CDS	231				hypothetical protein
PPDIGIDD_00482	CDS	1182	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
PPDIGIDD_00483	CDS	765				hypothetical protein
PPDIGIDD_00484	CDS	732		3.5.4.16	COG0327	GTP cyclohydrolase 1 type 2
PPDIGIDD_00485	CDS	897	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
PPDIGIDD_00486	CDS	585	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
PPDIGIDD_00487	CDS	363				hypothetical protein
PPDIGIDD_00488	CDS	264				hypothetical protein
PPDIGIDD_00489	CDS	1317				hypothetical protein
PPDIGIDD_00490	CDS	1215				hypothetical protein
PPDIGIDD_00491	CDS	288	vapD	3.1.-.-	COG3309	Endoribonuclease VapD
PPDIGIDD_00492	CDS	282				hypothetical protein
PPDIGIDD_00493	CDS	3060	czcA			Cobalt-zinc-cadmium resistance protein CzcA
PPDIGIDD_00494	CDS	1080				hypothetical protein
PPDIGIDD_00495	CDS	1296				hypothetical protein
PPDIGIDD_00496	CDS	2103	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
PPDIGIDD_00497	CDS	927				hypothetical protein
PPDIGIDD_00498	CDS	972	gpmI_1	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
PPDIGIDD_00499	CDS	483	gpmI_2	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
PPDIGIDD_00500	CDS	282	GATC	6.3.5.-		Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial
PPDIGIDD_00501	CDS	1311	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
PPDIGIDD_00502	CDS	1464				hypothetical protein
PPDIGIDD_00503	CDS	1482	ftsA		COG0849	Cell division protein FtsA
PPDIGIDD_00504	CDS	1158	ftsZ		COG0206	Cell division protein FtsZ
PPDIGIDD_00505	CDS	162				hypothetical protein
PPDIGIDD_00506	CDS	825	mscS			Small-conductance mechanosensitive channel
PPDIGIDD_00507	CDS	201				hypothetical protein
PPDIGIDD_00508	CDS	243	xseA_1	3.1.11.6		Exodeoxyribonuclease 7 large subunit
PPDIGIDD_00509	CDS	423				hypothetical protein
PPDIGIDD_00510	rRNA	2885				23S ribosomal RNA
PPDIGIDD_00511	CDS	1734				hypothetical protein
PPDIGIDD_00512	CDS	1185				hypothetical protein
PPDIGIDD_00513	CDS	1323				hypothetical protein
PPDIGIDD_00514	CDS	510				hypothetical protein
PPDIGIDD_00515	CDS	96				hypothetical protein
PPDIGIDD_00516	CDS	900				hypothetical protein
PPDIGIDD_00517	CDS	1848	speA	4.1.1.19		Biosynthetic arginine decarboxylase
PPDIGIDD_00518	CDS	1170	mgtA	2.4.1.-	COG0438	GDP-mannose-dependent alpha-mannosyltransferase
PPDIGIDD_00519	CDS	429				hypothetical protein
PPDIGIDD_00520	CDS	786	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
PPDIGIDD_00521	CDS	1008				hypothetical protein
PPDIGIDD_00522	CDS	1944				hypothetical protein
PPDIGIDD_00523	CDS	1170	cfa	2.1.1.79	COG2230	Cyclopropane-fatty-acyl-phospholipid synthase
PPDIGIDD_00524	CDS	1881				hypothetical protein
PPDIGIDD_00525	tRNA	77				tRNA-Arg(tct)
PPDIGIDD_00526	tRNA	77				tRNA-Arg(tcg)
PPDIGIDD_00527	tRNA	77				tRNA-His(gtg)
PPDIGIDD_00528	tRNA	78				tRNA-Pro(tgg)
PPDIGIDD_00529	CDS	663				hypothetical protein
PPDIGIDD_00530	CDS	1527	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
PPDIGIDD_00531	CDS	489				hypothetical protein
PPDIGIDD_00532	CDS	465	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
PPDIGIDD_00533	CDS	372	dorA_1	1.7.2.3	COG0243	Dimethyl sulfoxide/trimethylamine N-oxide reductase
PPDIGIDD_00534	CDS	354				hypothetical protein
PPDIGIDD_00535	CDS	99				hypothetical protein
PPDIGIDD_00536	CDS	324	dorA_2	1.7.2.3	COG0243	Dimethyl sulfoxide/trimethylamine N-oxide reductase
PPDIGIDD_00537	CDS	654	dorA_3	1.7.2.3	COG0243	Dimethyl sulfoxide/trimethylamine N-oxide reductase
PPDIGIDD_00538	CDS	591				hypothetical protein
PPDIGIDD_00539	CDS	927	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
PPDIGIDD_00540	CDS	378				hypothetical protein
PPDIGIDD_00541	CDS	315			COG0537	putative HIT-like protein
PPDIGIDD_00542	CDS	987	pheS	6.1.1.20	COG0016	Phenylalanine--tRNA ligase alpha subunit
PPDIGIDD_00543	CDS	2295	pheT	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
PPDIGIDD_00544	CDS	348	aroA1_1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
PPDIGIDD_00545	CDS	957	aroA1_2	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
PPDIGIDD_00546	CDS	825	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
PPDIGIDD_00547	CDS	1659	rpsA		COG0539	30S ribosomal protein S1
PPDIGIDD_00548	CDS	540				hypothetical protein
PPDIGIDD_00549	CDS	684		1.1.1.81	COG0111	Hydroxypyruvate reductase
PPDIGIDD_00550	CDS	894	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
PPDIGIDD_00551	CDS	996	ubiD_1	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PPDIGIDD_00552	CDS	846	ubiD_2	4.1.1.98		3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PPDIGIDD_00553	CDS	669			COG0325	Pyridoxal phosphate homeostasis protein
PPDIGIDD_00554	CDS	759	lpxH	3.6.1.54		UDP-2,3-diacylglucosamine hydrolase
PPDIGIDD_00555	CDS	936	cheV_2		COG0784	Chemotaxis protein CheV
PPDIGIDD_00556	CDS	2421	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
PPDIGIDD_00557	CDS	498	cheW		COG0835	Chemotaxis protein CheW
PPDIGIDD_00558	CDS	501	tpx	1.11.1.15	COG2077	Thiol peroxidase
PPDIGIDD_00559	CDS	642	sodB	1.15.1.1	COG0605	Superoxide dismutase [Fe]
PPDIGIDD_00560	CDS	720	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
PPDIGIDD_00561	CDS	1860	priA	3.6.4.-		primosomal protein N'
PPDIGIDD_00562	CDS	237				hypothetical protein
PPDIGIDD_00563	CDS	228				hypothetical protein
PPDIGIDD_00564	CDS	747				hypothetical protein
PPDIGIDD_00565	CDS	522				hypothetical protein
PPDIGIDD_00566	CDS	1224	htpX_2	3.4.24.-		Protease HtpX
PPDIGIDD_00567	CDS	831	prmC_2	2.1.1.297	COG2890	Release factor glutamine methyltransferase
PPDIGIDD_00568	CDS	903	gdhA	1.4.1.3		NAD(P)-specific glutamate dehydrogenase
PPDIGIDD_00569	CDS	408	gdh	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
PPDIGIDD_00570	CDS	1395	fucT_2	2.4.1.152		Alpha-(1,3)-fucosyltransferase FucT
PPDIGIDD_00571	CDS	2811	ccsA			Cytochrome c biogenesis protein CcsA
PPDIGIDD_00572	CDS	672				hypothetical protein
PPDIGIDD_00573	CDS	1008	hemH	4.99.1.1	COG0276	Ferrochelatase
PPDIGIDD_00574	CDS	432				hypothetical protein
PPDIGIDD_00575	CDS	681				hypothetical protein
PPDIGIDD_00576	CDS	2229				hypothetical protein
PPDIGIDD_00577	CDS	567	dcd	3.5.4.13	COG0717	dCTP deaminase
PPDIGIDD_00578	CDS	471	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
PPDIGIDD_00579	CDS	1368	accC	6.3.4.14	COG0439	Biotin carboxylase
PPDIGIDD_00580	CDS	513				hypothetical protein
PPDIGIDD_00581	CDS	417				hypothetical protein
PPDIGIDD_00582	CDS	237				hypothetical protein
PPDIGIDD_00583	CDS	645				hypothetical protein
PPDIGIDD_00584	CDS	831	pseC_1	2.6.1.92	COG0399	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
PPDIGIDD_00585	CDS	303	pseC_2	2.6.1.92	COG0399	UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine transaminase
PPDIGIDD_00586	tRNA	85				tRNA-Leu(tag)
PPDIGIDD_00587	CDS	1026	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
PPDIGIDD_00588	CDS	630	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
PPDIGIDD_00589	CDS	1017				hypothetical protein
PPDIGIDD_00590	CDS	729	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
PPDIGIDD_00591	CDS	1035	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
PPDIGIDD_00592	tRNA	77				tRNA-Ile(gat)
PPDIGIDD_00593	tRNA	76				tRNA-Ala(tgc)
PPDIGIDD_00594	CDS	1536				hypothetical protein
PPDIGIDD_00595	CDS	753	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
PPDIGIDD_00596	CDS	873	hcpC_1	3.5.2.6	COG0790	Putative beta-lactamase HcpC
PPDIGIDD_00597	CDS	627	eda		COG0800	KHG/KDPG aldolase
PPDIGIDD_00598	CDS	1842	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
PPDIGIDD_00599	CDS	1278	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
PPDIGIDD_00600	CDS	684	nagB	3.5.99.6		Glucosamine-6-phosphate deaminase
PPDIGIDD_00601	CDS	1011	glk	2.7.1.2	COG0837	Glucokinase
PPDIGIDD_00602	CDS	954	adhA	1.1.1.-	COG1064	putative formaldehyde dehydrogenase AdhA
PPDIGIDD_00603	CDS	1161				hypothetical protein
PPDIGIDD_00604	CDS	1197				hypothetical protein
PPDIGIDD_00605	CDS	1308				hypothetical protein
PPDIGIDD_00606	CDS	663				hypothetical protein
PPDIGIDD_00607	CDS	561	porC	1.2.7.1	COG1014	Pyruvate synthase subunit PorC
PPDIGIDD_00608	CDS	393	rsxB_2	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
PPDIGIDD_00609	CDS	1224	porA	1.2.7.1	COG0674	Pyruvate synthase subunit PorA
PPDIGIDD_00610	CDS	348				hypothetical protein
PPDIGIDD_00611	CDS	615	porB	1.2.7.1	COG1013	Pyruvate synthase subunit PorB
PPDIGIDD_00612	CDS	1323	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
PPDIGIDD_00613	CDS	834				hypothetical protein
PPDIGIDD_00614	CDS	1977	uvrB			UvrABC system protein B
PPDIGIDD_00615	CDS	771	esiB			Secretory immunoglobulin A-binding protein EsiB
PPDIGIDD_00616	CDS	1704	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
PPDIGIDD_00617	CDS	1821				hypothetical protein
PPDIGIDD_00618	CDS	435				hypothetical protein
PPDIGIDD_00619	CDS	960				IS1595 family transposase ISCco3
PPDIGIDD_00620	CDS	204				hypothetical protein
PPDIGIDD_00621	CDS	207				hypothetical protein
PPDIGIDD_00622	CDS	558	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
PPDIGIDD_00623	CDS	996	cpoB			Cell division coordinator CpoB
PPDIGIDD_00624	CDS	540	pal			Peptidoglycan-associated lipoprotein
PPDIGIDD_00625	CDS	1254	tolB		COG0823	Tol-Pal system protein TolB
PPDIGIDD_00626	CDS	801				hypothetical protein
PPDIGIDD_00627	CDS	402	exbD_1		COG0848	Biopolymer transport protein ExbD
PPDIGIDD_00628	CDS	570	tolQ_1			Tol-Pal system protein TolQ
PPDIGIDD_00629	CDS	372	atpC		COG0355	ATP synthase epsilon chain
PPDIGIDD_00630	CDS	1401	atpD_1	7.1.2.2	COG0055	ATP synthase subunit beta
PPDIGIDD_00631	CDS	906	atpG		COG0224	ATP synthase gamma chain
PPDIGIDD_00632	CDS	1512	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
PPDIGIDD_00633	CDS	543	atpD_2			ATP synthase subunit delta
PPDIGIDD_00634	CDS	516	atpF_1			ATP synthase subunit b
PPDIGIDD_00635	CDS	435	atpF_2			ATP synthase subunit b
PPDIGIDD_00636	CDS	873	parB		COG1475	putative chromosome-partitioning protein ParB
PPDIGIDD_00637	CDS	795	soj	3.6.-.-	COG1192	Sporulation initiation inhibitor protein Soj
PPDIGIDD_00638	CDS	639	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
PPDIGIDD_00639	CDS	912	fmt	2.1.2.9	COG0223	Methionyl-tRNA formyltransferase
PPDIGIDD_00640	CDS	2589				hypothetical protein
PPDIGIDD_00641	CDS	912				hypothetical protein
PPDIGIDD_00642	CDS	276				hypothetical protein
PPDIGIDD_00643	rRNA	1502				16S ribosomal RNA
PPDIGIDD_00644	CDS	267				hypothetical protein
PPDIGIDD_00645	CDS	399				hypothetical protein
PPDIGIDD_00646	CDS	357	rplS		COG0335	50S ribosomal protein L19
PPDIGIDD_00647	CDS	690	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
PPDIGIDD_00648	CDS	555	rimM			Ribosome maturation factor RimM
PPDIGIDD_00649	CDS	348				hypothetical protein
PPDIGIDD_00650	CDS	231	rpsP			30S ribosomal protein S16
PPDIGIDD_00651	CDS	936	ffh_1		COG0541	Signal recognition particle protein
PPDIGIDD_00652	CDS	396	ffh_2		COG0541	Signal recognition particle protein
PPDIGIDD_00653	CDS	2457	valS	6.1.1.9	COG0525	Valine--tRNA ligase
PPDIGIDD_00654	CDS	408	fliW1		COG1699	Flagellar assembly factor FliW 1
PPDIGIDD_00655	CDS	1062	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
PPDIGIDD_00656	CDS	2088				hypothetical protein
PPDIGIDD_00657	CDS	3699				hypothetical protein
PPDIGIDD_00658	CDS	795	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
PPDIGIDD_00659	CDS	513		2.7.7.-	COG2184	Protein adenylyltransferase NmFic
PPDIGIDD_00660	CDS	423	ybeY	3.1.-.-		Endoribonuclease YbeY
PPDIGIDD_00661	CDS	495	fldA		COG0716	Flavodoxin
PPDIGIDD_00662	CDS	582				hypothetical protein
PPDIGIDD_00663	CDS	192				hypothetical protein
PPDIGIDD_00664	CDS	975		1.18.1.2	COG0492	Ferredoxin--NADP reductase
PPDIGIDD_00665	CDS	1050				hypothetical protein
PPDIGIDD_00666	CDS	1638	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
PPDIGIDD_00667	CDS	1416				hypothetical protein
PPDIGIDD_00668	CDS	1794		3.1.21.4		Type IIS restriction enzyme Eco57I
PPDIGIDD_00669	CDS	735				hypothetical protein
PPDIGIDD_00670	CDS	2064	cstA		COG1966	Peptide transporter CstA
PPDIGIDD_00671	CDS	654	glnP_1		COG0765	Glutamine transport system permease protein GlnP
PPDIGIDD_00672	CDS	672	glnP_2		COG0765	Glutamine transport system permease protein GlnP
PPDIGIDD_00673	CDS	465	glnQ			Glutamine transport ATP-binding protein GlnQ
PPDIGIDD_00674	CDS	267	artM		COG1126	Arginine transport ATP-binding protein ArtM
PPDIGIDD_00675	CDS	834	glnH		COG0834	ABC transporter glutamine-binding protein GlnH
PPDIGIDD_00676	CDS	552				hypothetical protein
PPDIGIDD_00677	CDS	1224	fucP		COG0738	L-fucose-proton symporter
PPDIGIDD_00678	CDS	1308	adeQ		COG2252	Adenine permease AdeQ
PPDIGIDD_00679	CDS	1896				hypothetical protein
PPDIGIDD_00680	CDS	1299				hypothetical protein
PPDIGIDD_00681	CDS	525				hypothetical protein
PPDIGIDD_00682	CDS	705	deoD	2.4.2.1	COG0813	Purine nucleoside phosphorylase DeoD-type
PPDIGIDD_00683	CDS	723	deoB_1	5.4.2.7	COG1015	Phosphopentomutase
PPDIGIDD_00684	CDS	549	deoB_2	5.4.2.7	COG1015	Phosphopentomutase
PPDIGIDD_00685	CDS	1257	nupX		COG1972	Putative nucleoside permease NupX
PPDIGIDD_00686	tRNA	78				tRNA-Met(cat)
PPDIGIDD_00687	CDS	1332	yfcJ			putative MFS-type transporter YfcJ
PPDIGIDD_00688	CDS	762	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
PPDIGIDD_00689	CDS	1152				hypothetical protein
PPDIGIDD_00690	CDS	1182				hypothetical protein
PPDIGIDD_00691	CDS	261				hypothetical protein
PPDIGIDD_00692	CDS	1176	sotB			Sugar efflux transporter B
PPDIGIDD_00693	CDS	624	cah	4.2.1.1	COG3338	Carbonic anhydrase
PPDIGIDD_00694	CDS	1287				hypothetical protein
PPDIGIDD_00695	CDS	1038	asd	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase
PPDIGIDD_00696	CDS	1329	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
PPDIGIDD_00697	CDS	135				hypothetical protein
PPDIGIDD_00698	CDS	465				hypothetical protein
PPDIGIDD_00699	CDS	219				hypothetical protein
PPDIGIDD_00700	CDS	132				hypothetical protein
PPDIGIDD_00701	CDS	2079	fusA		COG0480	Elongation factor G
PPDIGIDD_00702	CDS	468	rpsG		COG0049	30S ribosomal protein S7
PPDIGIDD_00703	CDS	393	rpsL		COG0048	30S ribosomal protein S12
PPDIGIDD_00704	CDS	2733	rpoBC_1	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
PPDIGIDD_00705	CDS	6012	rpoBC_2	2.7.7.6	COG0085	Bifunctional DNA-directed RNA polymerase subunit beta-beta'
PPDIGIDD_00706	CDS	378	rplL		COG0222	50S ribosomal protein L7/L12
PPDIGIDD_00707	CDS	237	rplJ_1		COG0244	50S ribosomal protein L10
PPDIGIDD_00708	CDS	288	rplJ_2		COG0244	50S ribosomal protein L10
PPDIGIDD_00709	CDS	705	rplA		COG0081	50S ribosomal protein L1
PPDIGIDD_00710	CDS	426	rplK		COG0080	50S ribosomal protein L11
PPDIGIDD_00711	CDS	528	nusG		COG0250	Transcription termination/antitermination protein NusG
PPDIGIDD_00712	CDS	165				hypothetical protein
PPDIGIDD_00713	tRNA	76				tRNA-Trp(cca)
PPDIGIDD_00714	CDS	159	rpmG2		COG0267	50S ribosomal protein L33 2
PPDIGIDD_00715	CDS	1200	tufA		COG0050	Elongation factor Tu
PPDIGIDD_00716	tRNA	75				tRNA-Thr(ggt)
PPDIGIDD_00717	tRNA	77				tRNA-Gly(tcc)
PPDIGIDD_00718	tRNA	85				tRNA-Tyr(gta)
PPDIGIDD_00719	tRNA	76				tRNA-Thr(tgt)
PPDIGIDD_00720	CDS	1527	pglK_1	7.5.2.5	COG1132	Protein glycosylation K
PPDIGIDD_00721	CDS	177	pglK_2	7.5.2.5	COG1132	Protein glycosylation K
PPDIGIDD_00722	CDS	669				hypothetical protein
